DeviceAddress,Nome,MAC,TAG,LAT,LONG,Grupo,Modelo
0006E597,HDA01 - 150W,5C-CF-7F-06-E5-97,L275,-24.245100,-50.747825,Klabin,HDA-150
0006E5CB,HDA01 - 150W,5C-CF-7F-06-E5-CB,L318,-24.245105,-50.747825,Klabin,HDA-150
000AF485,HDA01 - 150W,5C-CF-7F-0A-F4-85,L282,-24.245110,-50.747825,Klabin,HDA-150
000AF587,HDA01 - 150W,5C-CF-7F-0A-F5-87,L243,-24.245115,-50.747825,Klabin,HDA-150
0006E53E,HDA01 - 150W,5C-CF-7F-06-E5-3E,L236,-24.245120,-50.747825,Klabin,HDA-150
000AF4BB,HDA01 - 150W,5C-CF-7F-0A-F4-BB,L352,-24.245125,-50.747825,Klabin,HDA-150
0006E45F,HDA01 - 150W,5C-CF-7F-06-E4-5F,L238,-24.245130,-50.747825,Klabin,HDA-150
0006E631,HDA01 - 150W,5C-CF-7F-06-E6-31,L469,-24.245135,-50.747830,Klabin,HDA-150
0006E69C,HDA01 - 150W,5C-CF-7F-06-E6-9C,L285,-24.245140,-50.747830,Klabin,HDA-150
000AF469,HDA01 - 150W,5C-CF-7F-0A-F4-69,L253,-24.245145,-50.747830,Klabin,HDA-150
0006E3D3,HDA01 - 150W,5C-CF-7F-06-E3-D3,L240,-24.245150,-50.747830,Klabin,HDA-150
0006E49D,HDA01 - 150W,5C-CF-7F-06-E4-9D,L263,-24.245155,-50.747830,Klabin,HDA-150
000AF5B9,HDA01 - 150W,5C-CF-7F-0A-F5-B9,L464,-24.245160,-50.747830,Klabin,HDA-150
0006E3F6,HDA01 - 150W,5C-CF-7F-06-E3-F6,L300,-24.245165,-50.747830,Klabin,HDA-150
0006E4E8,HDA01 - 150W,5C-CF-7F-06-E4-E8,L347,-24.245170,-50.747830,Klabin,HDA-150
000AF52F,HDA01 - 150W,5C-CF-7F-0A-F5-2F,L308,-24.245175,-50.747830,Klabin,HDA-150
000AF481,HDA01 - 150W,5C-CF-7F-0A-F4-81,L295,-24.245180,-50.747830,Klabin,HDA-150
000AF614,HDA01 - 150W,5C-CF-7F-0A-F6-14,L296,-24.245185,-50.747835,Klabin,HDA-150
0006E3FA,HDA01 - 150W,5C-CF-7F-06-E3-FA,L291,-24.245190,-50.747835,Klabin,HDA-150
000AF565,HDA01 - 150W,5C-CF-7F-0A-F5-65,L233,-24.245195,-50.747835,Klabin,HDA-150
000AF598,HDA01 - 150W,5C-CF-7F-0A-F5-98,L235,-24.245200,-50.747835,Klabin,HDA-150
000AF60C,HDA01 - 150W,5C-CF-7F-0A-F6-0C,L331,-24.245205,-50.747835,Klabin,HDA-150
000AF446,HDA01 - 150W,5C-CF-7F-0A-F4-46,L289,-24.244970,-50.747835,Klabin,HDA-150
0006E5CE,HDA01 - 150W,5C-CF-7F-06-E5-CE,L286,-24.244975,-50.747835,Klabin,HDA-150
0006E33A,HDA01 - 150W,5C-CF-7F-06-E3-3A,L535,-24.244980,-50.747835,Klabin,HDA-150
000AF5B3,HDA01 - 150W,5C-CF-7F-0A-F5-B3,L547,-24.244985,-50.747835,Klabin,HDA-150
0006E623,HDA01 - 150W,5C-CF-7F-06-E6-23,L546,-24.244990,-50.747835,Klabin,HDA-150
0006E57E,HDA01 - 150W,5C-CF-7F-06-E5-7E,L548,-24.244995,-50.747840,Klabin,HDA-150
